group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
16;SLSLSSSSSLLLLLSL;SHR,MOV,MOV,MOVZX,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,SHR,MOV,;0,0,24,24,56,48,40,32,24,24,32,40,48,56,0,0,;0x1343aa,0x1343af,0x134454,0x13446e,0x13449f,0x1344a4,0x1344a9,0x1344ae,0x1344b3,0x1344be,0x1344c3,0x1344ca,0x1344cf,0x1344d4,0x1344df,0x1344e4,;Not mono block loop;0;Success;114;48;66;64;0;1;
2;LL;MOV,MOVZX,;16,32,;0x134434,0x134450,;Not mono block loop;0;Success;9;9;0;17;0;1;
2;LL;CMP,MOVZX,;16,32,;0x134438,0x13444b,;Not mono block loop;0;Success;9;9;0;17;0;1;
3;LLL;MOVSX,MOVSX,MOVSXD,;0,0,0,;0x1342c1,0x13436d,0x134529,;Not mono block loop;0;Success;7;4;3;4;0;1;
2;LL;MOV,CMP,;8,0,;0x1342db,0x1343a0,;Not mono block loop;0;Success;16;16;0;16;0;1;
