group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;TEST,MOV,;169,328,;0x53a73f,0x53a980,;Not mono block loop;0;Success;9;9;0;167;0;1;
2;LL;MOV,MOV,;0,0,;0x53a6fe,0x53a796,;Not mono block loop;0;Success;16;8;8;8;0;2;
4;SLSL;MOV,MOV,MOV,MOV,;8,8,8,8,;0x53abb7,0x53abbf,0x53ab9b,0x53aba3,;Not mono block loop;0;Success;32;8;24;8;0;1;
4;LLLL;MOV,MOV,MOV,MOV,;8,0,0,32,;0x53a725,0x53a7ee,0x53a74d,0x53a767,;Not mono block loop;0;Success;32;24;8;40;0;1;
2;LL;TEST,MOV,;169,328,;0x53a788,0x53a9d2,;Not mono block loop;0;Success;9;9;0;167;0;1;
2;LL;TEST,MOV,;169,328,;0x53a7a7,0x53a7b5,;Not mono block loop;0;Success;9;9;0;167;0;1;
2;LL;MOV,MOV,;8,168,;0x53a73b,0x53aaf5,;Not mono block loop;0;Success;12;12;0;164;0;2;
2;LS;MOV,MOV,;-8,-8,;0x53a9e2,0x53a9f2,;Not mono block loop;0;Success;16;8;8;8;0;1;
4;LLLS;MOV,MOV,MOV,MOV,;8,168,-8,-8,;0x53a7a3,0x53aa2d,0x53a7c5,0x53a7d5,;Not mono block loop;0;Success;28;20;8;180;0;1;
2;LL;TEST,MOV,;169,328,;0x53a75a,0x53a9a9,;Not mono block loop;0;Success;9;9;0;167;0;1;
2;LL;MOV,MOV,;8,168,;0x53a784,0x53aaab,;Not mono block loop;0;Success;12;12;0;164;0;2;
2;LS;MOV,MOV,;-8,-8,;0x53a990,0x53a9a0,;Not mono block loop;0;Success;16;8;8;8;0;1;
4;LLLS;MOV,MOV,MOV,MOV,;8,168,-8,-8,;0x53a756,0x53aacf,0x53a9b9,0x53a9c9,;Not mono block loop;0;Success;28;20;8;180;0;1;
