group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
26;SSSSLLLLSSSSLLLLLSSSSLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;40,24,16,8,24,8,16,40,40,24,16,8,8,16,24,40,0,40,24,16,8,0,8,16,24,40,;0x60293,0x60298,0x6029d,0x602a2,0x602b5,0x602ba,0x602bf,0x602c4,0x602d7,0x602dc,0x602e1,0x602e6,0x602f0,0x602f5,0x602fd,0x60302,0x60230,0x601ea,0x601ef,0x601f4,0x601f9,0x60207,0x6020b,0x60210,0x60215,0x6021e,;Not mono block loop;0;Success;208;40;168;48;0;1;
3;LLL;CMP,MOVZX,MOV,;16,32,72,;0x6018a,0x601a2,0x601cd,;Not mono block loop;0;Success;17;17;0;64;0;1;
1;L;CMP,;32,;0x6017b,;Not mono block loop;0;Success;1;1;0;1;0;1;
1;L;CMP,;32,;0x602c9,;Not mono block loop;0;Success;1;1;0;1;0;1;
2;LL;MOV,MOV,;32,32,;0x60234,0x6021a,;Not mono block loop;0;Success;16;8;8;8;0;2;
4;LLLL;CMP,MOV,MOVZX,MOV,;32,16,32,72,;0x60170,0x60186,0x6019d,0x604d7,;Not mono block loop;0;Success;18;17;1;64;0;1;
2;LL;MOV,MOV,;8,8,;0x60238,0x60223,;Not mono block loop;0;Success;16;8;8;8;0;2;
2;LL;MOV,CMP,;8,0,;0x600d4,0x600e1,;Not mono block loop;0;Success;16;16;0;16;0;1;
4;LLLL;MOVSX,MOVSX,MOVSXD,MOV,;40,40,40,40,;0x600b8,0x6010c,0x60160,0x60152,;Not mono block loop;0;Success;15;8;7;8;0;1;
