group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
3;LLL;MOV,MOV,MOVSXD,;24,36,16,;0x1bda9a,0x1bdaa1,0x1bdab3,;Not mono block loop;0;Success;12;12;0;24;0;1;
3;LLL;CMP,CMP,MOV,;0,8,16,;0x1bda0a,0x1bda12,0x1bda1c,;Not mono block loop;0;Success;20;20;0;24;0;1;
3;LLL;MOV,MOV,MOV,;88,88,88,;0x1bdb87,0x1bdad1,0x1bdb27,;Not mono block loop;0;Success;24;8;16;8;0;3;
1;S;DEC,;0,;0x1bdc14,;Not mono block loop;0;Success;8;8;0;8;0;1;
9;LLLLLLLLS;CMP,CMP,CMP,MOV,CMP,CMP,CMP,MOV,INC,;8,32,16,24,8,32,16,24,0,;0x1bd9bd,0x1bd9c7,0x1bd9d1,0x1bd9f1,0x1bdbbe,0x1bdbc4,0x1bdbca,0x1bdbe9,0x1bdc0c,;Not mono block loop;0;Success;50;29;21;33;0;1;
1;L;MOV,;0,;0x1bda6a,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;LLL;MOV,MOV,TEST,;168,272,169,;0x1bda2d,0x1bdcc9,0x1bdce5,;Not mono block loop;0;Success;17;16;1;112;0;1;
3;LLL;TEST,MOV,MOV,;170,384,384,;0x1bd9dc,0x1bd9ea,0x1bdbe2,;Not mono block loop;0;Success;9;5;4;218;0;1;
4;LSSS;MOV,MOV,MOV,MOV,;8,0,16,8,;0x1bdc02,0x1bdc06,0x1bdc08,0x1bdc10,;Not mono block loop;0;Success;28;20;8;24;0;1;
3;LSL;MOV,MOV,MOV,;2098794,2098787,2065514,;0x1bdc9f,0x1bdca6,0x1bda87,;Not mono block loop;0;Success;24;23;1;33288;0;1;
4;SSLL;MOVAPS,MOV,MOV,MOVDQA,;16,0,0,16,;0x1bdc61,0x1bdc6e,0x1bdc78,0x1bdcad,;Not mono block loop;0;Success;48;24;24;32;0;1;
1;L;MOV,;72,;0x1bdb47,;Not mono block loop;0;Success;8;8;0;8;0;1;
7;SLLLLSS;MOVAPS,MOV,MOVDQA,MOVDQA,MOVDQA,MOVAPS,MOVAPS,;0,44,0,0,0,48,48,;0x1bdba1,0x1bdbad,0x1bdbb9,0x1bdbd9,0x1bdc50,0x1bda42,0x1bdcdc,;Not mono block loop;0;Success;100;36;64;64;0;1;
1;L;MOVSXD,;16,;0x1bdb70,;Not mono block loop;0;Success;4;4;0;4;0;1;
17;LSSLLLLLLLLLLLLSS;MOV,INC,INC,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,DEC,DEC,;8,0,0,8,16,24,32,40,48,64,104,40,48,64,104,0,0,;0x1bda29,0x1bda3f,0x1bdcd9,0x1bdce1,0x1bda8e,0x1bda92,0x1bda96,0x1bdaf0,0x1bdaf4,0x1bdafa,0x1bdafe,0x1bdd0e,0x1bdd12,0x1bdd18,0x1bdd1c,0x1bdb3e,0x1bdae6,;Not mono block loop;0;Success;136;72;64;112;0;1;
1;L;MOV,;56,;0x1bda66,;Not mono block loop;0;Success;8;8;0;8;0;1;
4;LSSL;MOV,MOV,MOV,MOV,;8,16,0,16,;0x1bdc6a,0x1bdc88,0x1bdcb3,0x1bdcb7,;Not mono block loop;0;Success;32;24;8;24;0;1;
1;L;SUB,;40,;0x1bdb4c,;Not mono block loop;0;Success;8;8;0;8;0;1;
