group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
5;SSSSS;MOV,MOV,MOV,VMOVUPS,VMOVUPS,;0,8,16,24,40,;0x62dbb1e,0x62dbb21,0x62dbb25,0x62dbb39,0x62dbb46,;Not mono block loop;0;Success;56;56;0;56;0;1;
1;S;INC,;-1,;0x62db9e5,;Not mono block loop;0;Success;4;4;0;4;0;1;
1;L;MOV,;0,;0x62dbaa7,;Not mono block loop;0;Success;8;8;0;8;0;1;
5;SSSSS;MOV,MOV,MOV,VMOVUPS,VMOVUPS,;0,8,16,24,40,;0x62dba04,0x62dba07,0x62dba0b,0x62dba1f,0x62dba2c,;Not mono block loop;0;Success;56;56;0;56;0;1;
2;LL;MOV,MOV,;0,0,;0x62db87c,0x62db993,;Not mono block loop;0;Success;16;8;8;8;0;2;
2;LS;CMP,MOV,;21831642,21830628,;0x62db867,0x62dbc5e,;Not mono block loop;0;Success;2;2;0;1015;0;1;
1;S;INC,;-1,;0x62dbb00,;Not mono block loop;0;Success;4;4;0;4;0;1;
1;L;MOV,;0,;0x62dbad7,;Not mono block loop;0;Success;8;8;0;8;0;1;
23;LLLSLSLSLSSSLLLSLSLSSSL;MOV,CMP,MOV,MOV,VMOVAPS,VMOVAPS,VMOVAPS,VMOVAPS,VMOVAPS,MOV,MOV,MOV,CMP,MOV,VMOVAPS,VMOVAPS,VMOVAPS,VMOVAPS,VMOVAPS,MOV,MOV,MOV,CMP,;-456,-456,-448,-456,-528,-624,-624,-448,-512,-576,-552,-560,-480,-456,-528,-656,-656,-448,-512,-608,-584,-592,-480,;0x62db897,0x62db9a6,0x62db9ae,0x62dba97,0x62db9ea,0x62db9f2,0x62dba0f,0x62dba17,0x62dba24,0x62dba31,0x62dba3f,0x62dba4d,0x62dba54,0x62dbaf4,0x62dbb04,0x62dbb0c,0x62dbb29,0x62dbb31,0x62dbb3e,0x62dbb4b,0x62dbb59,0x62dbb67,0x62dbb6e,;Not mono block loop;0;Success;264;144;120;224;0;1;
4;LLLL;CMP,MOV,MOV,MOV,;288,56,200,64,;0x62db890,0x62dba9e,0x62dbab4,0x62dbace,;Not mono block loop;0;Success;25;25;0;233;0;1;
