name;time_p;time_s;cpi_ratio;
/home/aaron/.conda/envs/python3.9.19-env/bin/python3.9;53.68;39.9;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/numpy/core/_multiarray_umath.cpython-39-x86_64-linux-gnu.so;14.56;10.82;;
/usr/lib/libc.so.6;4.75;3.53;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/tree/_tree.cpython-39-x86_64-linux-gnu.so;4.69;3.48;;
/usr/lib/libm.so.6;4.47;3.32;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/tree/_splitter.cpython-39-x86_64-linux-gnu.so;3.44;2.56;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/svm/_libsvm.cpython-39-x86_64-linux-gnu.so;2.91;2.16;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/tree/_criterion.cpython-39-x86_64-linux-gnu.so;2.13;1.58;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/scipy.libs/libopenblasp-r0-01191904.3.27.so;1.9;1.41;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/neighbors/_kd_tree.cpython-39-x86_64-linux-gnu.so;1.32;0.98;;
kernel;1.2;0.9;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/numpy/random/bit_generator.cpython-39-x86_64-linux-gnu.so;0.87;0.65;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/numpy/random/_mt19937.cpython-39-x86_64-linux-gnu.so;0.58;0.43;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/utils/_cython_blas.cpython-39-x86_64-linux-gnu.so;0.4;0.29;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/lib.cpython-39-x86_64-linux-gnu.so;0.36;0.26;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/internals.cpython-39-x86_64-linux-gnu.so;0.25;0.18;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/utils/_weight_vector.cpython-39-x86_64-linux-gnu.so;0.23;0.17;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/parsers.cpython-39-x86_64-linux-gnu.so;0.23;0.17;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/linear_model/_sgd_fast.cpython-39-x86_64-linux-gnu.so;0.21;0.15;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/svm/_liblinear.cpython-39-x86_64-linux-gnu.so;0.2;0.14;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/algos.cpython-39-x86_64-linux-gnu.so;0.18;0.13;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/hashtable.cpython-39-x86_64-linux-gnu.so;0.18;0.13;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/numpy/random/_bounded_integers.cpython-39-x86_64-linux-gnu.so;0.15;0.11;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/tree/_utils.cpython-39-x86_64-linux-gnu.so;0.14;0.1;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/utils/_seq_dataset.cpython-39-x86_64-linux-gnu.so;0.14;0.1;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/properties.cpython-39-x86_64-linux-gnu.so;0.13;0.1;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/scipy/linalg/cython_blas.cpython-39-x86_64-linux-gnu.so;0.12;0.09;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/numpy/random/mtrand.cpython-39-x86_64-linux-gnu.so;0.09;0.07;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/missing.cpython-39-x86_64-linux-gnu.so;0.09;0.07;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/index.cpython-39-x86_64-linux-gnu.so;0.09;0.06;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/pandas_parser.cpython-39-x86_64-linux-gnu.so;0.08;0.06;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/scipy/optimize/_lbfgsb.cpython-39-x86_64-linux-gnu.so;0.04;0.03;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/neighbors/_partition_nodes.cpython-39-x86_64-linux-gnu.so;0.04;0.03;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/numpy.libs/libopenblas64_p-r0-0cf96a72.3.23.dev.so;0.03;0.02;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/_loss/_loss.cpython-39-x86_64-linux-gnu.so;0.03;0.02;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/utils/_heap.cpython-39-x86_64-linux-gnu.so;0.03;0.02;;
/usr/lib/ld-linux-x86-64.so.2;0.03;0.02;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/interval.cpython-39-x86_64-linux-gnu.so;0.02;0.01;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/pandas/_libs/indexing.cpython-39-x86_64-linux-gnu.so;0.01;0.01;;
/home/aaron/.conda/envs/python3.9.19-env/lib/libstdc++.so.6.0.29;0.01;0.01;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/numpy.libs/libquadmath-96973f99.so.0.0.0;0.01;0.01;;
/home/aaron/.conda/envs/python3.9.19-env/lib/python3.9/site-packages/sklearn/metrics/_dist_metrics.cpython-39-x86_64-linux-gnu.so;0.01;0.01;;
