group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
13;SLSLLLSSLLLLL;MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,MOV,;8,8,8,28,8,8,8,32,0,0,8,0,72,;0x158b3e,0x158b7b,0x158a94,0x158aa1,0x158aad,0x158ad8,0x158a26,0x1589a2,0x158bbb,0x1589b2,0x158a3c,0x158a57,0x1589f8,;Not mono block loop;0;Success;100;36;64;80;0;1;
2;LL;TEST,MOV,;170,384,;0x158920,0x15892e,;Not mono block loop;0;Success;5;5;0;218;0;1;
1;S;DEC,;0,;0x158b0f,;Not mono block loop;0;Success;8;8;0;8;0;1;
1;L;MOV,;384,;0x158ae7,;Not mono block loop;0;Success;4;4;0;4;0;1;
1;S;DEC,;0,;0x1589ec,;Not mono block loop;0;Success;8;8;0;8;0;1;
9;LLLLLLLLS;CMP,CMP,CMP,MOV,CMP,CMP,CMP,MOV,INC,;8,32,16,24,8,32,16,24,0,;0x158901,0x15890b,0x158915,0x158935,0x158ab9,0x158abf,0x158ac5,0x158add,0x158b07,;Not mono block loop;0;Success;50;29;21;33;0;1;
1;L;MOV,;16,;0x15897e,;Not mono block loop;0;Success;8;8;0;8;0;1;
3;LLS;TEST,MOV,MOV,;170,272,0,;0x158971,0x158ba8,0x158a4a,;Not mono block loop;0;Success;17;17;0;280;0;1;
4;LSSS;MOV,MOV,MOV,MOV,;8,0,16,8,;0x158afd,0x158b01,0x158b03,0x158b0b,;Not mono block loop;0;Success;28;20;8;24;0;1;
6;LSLLSS;MOV,MOV,MOV,MOV,MOV,MOV,;2409034,2409006,2408981,2512777,2512770,2408936,;0x158b37,0x158b5b,0x158b74,0x158b80,0x158b87,0x158b91,;Not mono block loop;0;Success;48;47;1;103849;0;1;
3;LLL;CMP,CMP,MOV,;0,8,16,;0x15894e,0x158956,0x158960,;Not mono block loop;0;Success;20;20;0;24;0;1;
4;LSSS;MOV,INC,INC,DEC,;8,0,0,0,;0x15896d,0x158983,0x158bb8,0x1589ca,;Not mono block loop;0;Success;32;16;16;16;0;1;
1;L;SUB,;40,;0x1589fd,;Not mono block loop;0;Success;8;8;0;8;0;1;
